procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st                 BST
 3  1 616908 330228 181264  89232    8   38   504   729  310  748  6  5 89  0  0 2018-06-01 03:02:22
 1  0 616908 285100 177092 138444    0    0  2764     0  536 1171 42 56  0  2  0 2018-06-01 03:02:23
 1  0 616908 326284 177028  97304    0    0    92     0  400  904 23 41 35  0  0 2018-06-01 03:02:24
 1  0 616904 326184 176696  98148    4    0   672     4  460 1174 15  8 71  5  0 2018-06-01 03:02:25
 0  0 616900 326184 176712  98264    4    0   124   124  331  807  3  6 87  4  0 2018-06-01 03:02:26
 0  0 616900 326192 176732  98380    0    0   108     0  309  730  4  4 92  0  0 2018-06-01 03:02:27
 0  0 616876 326192 176608  98468   28    0   140   540  305 1168  6  6 88  0  0 2018-06-01 03:02:28
 0  0 616876 326192 176608  98468    0    0     0     0  272  634  4  2 94  0  0 2018-06-01 03:02:29
 2  0 616876 326192 176608  98468    0    0     0     0  265  591  2  4 94  0  0 2018-06-01 03:02:30
 3  0 616876 326216 176608  98468    0    0     0     0  253  542  1  2 97  0  0 2018-06-01 03:02:31
