procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st                 BST
 5  0 611200 331020 148396 121440    8   38   505   718  310  748  6  5 89  0  0 2018-06-01 03:02:02
 3  1 611192 203060 148500 248884   16    0  1028     0  516 1103 56 44  0  0  0 2018-06-01 03:02:03
 2  0 611192 310692 148520 141276    0    0     4    16  429  699 79 21  0  0  0 2018-06-01 03:02:04
 3  0 611192 247940 148488 203980    0    0     4   120  428 1095 79 21  0  0  0 2018-06-01 03:02:05
 5  0 611192 206400 265472 125600    0    0     8 104972  544  928 36 64  0  0  0 2018-06-01 03:02:06
 3  0 611192  83144 384276 126824    0    0     4 119988  488  763 41 59  0  0  0 2018-06-01 03:02:07
 4  0 611192  70992 384788 138324    0    0   588  3204  446  689 90 10  0  0  0 2018-06-01 03:02:08
 1  0 611192 289104 149008 162184    0    0     0    12  411  919 67 33  0  0  0 2018-06-01 03:02:09
 0  0 611192 328572 148984 123088    0    0     0   140  417  680 64 35  1  0  0 2018-06-01 03:02:10
 1  0 611192 328572 149128 123088    0    0   184     0  294  758  5  4 91  0  0 2018-06-01 03:02:11
