procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st                 BST
 1  2 611236 346320 146184 108368    8   38   504   718  310  747  6  5 89  0  0 2018-06-01 03:01:52
 1  0 611236 210912 153256 236348    0    0  9524     0  667 1299 49 50  0  2  0 2018-06-01 03:01:53
 3  1 611236 334648 153824 112276    0    0   556     0  452  848 81 19  0  0  0 2018-06-01 03:01:54
 2  0 611232 253924 153536 193332    0    0  5460   120  698 1503 71 29  0  0  0 2018-06-01 03:01:55
 1  0 611232 224908 148408 227456    0    0   220     8  519 1085 57 43  0  0  0 2018-06-01 03:01:56
 1  0 611232  92228 147212 361048    0    0   216     0  496  795 63 37  0  0  0 2018-06-01 03:01:57
 3  0 611232  75860 147216 377192    0    0     0     0  415  647 86 14  0  0  0 2018-06-01 03:01:58
 1  0 611232 227512 146384 226684    0    0    36    44  435  912 48 52  0  0  0 2018-06-01 03:01:59
 0  0 611200 331936 148328 121036   48    0  2144    88  474  911 43 14 38  5  0 2018-06-01 03:02:00
 0  0 611200 331564 148392 121324    0    0   352    12  323  752  3  6 91  0  0 2018-06-01 03:02:01
