procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st                 BST
 4  0 611192 328432 149180 123228    8   38   504   729  310  748  6  5 89  0  0 2018-06-01 03:02:12
 2  0 611192 201960 149344 249244    0    0   228     0  447  898 60 40  0  0  0 2018-06-01 03:02:13
 3  0 611192 296448 149352 154896    0    0     0     0  421  683 79 21  0  0  0 2018-06-01 03:02:14
 4  0 611188 296704 149572 154488    0    0   452   124  528 1139 76 24  0  0  0 2018-06-01 03:02:15
 2  1 611188  98924 150140 351344    0    0   692     0  468  819 48 52  0  0  0 2018-06-01 03:02:16
 3  0 611168  65816 150156 384264   16    0   156    24  465 1214 82 18  0  0  0 2018-06-01 03:02:17
 1  0 616928 304816 180544 115516    0 5760     0  5788  437  802 65 35  0  0  0 2018-06-01 03:02:18
 1  0 616928 217652 180216 202752    0    0     0     0  415  671 75 25  0  0  0 2018-06-01 03:02:19
 0  0 616928 334352 179936  86496    0    0   160     0  340  840  7 11 81  1  0 2018-06-01 03:02:20
 0  0 616916 330252 181900  88532   32    0  3932   108  504 1330  6 13 75  5  0 2018-06-01 03:02:21
