procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st                 BST
 4  0 609440 285548 215696  99836    8   38   500   696  309  747  6  5 89  0  0 2018-06-01 03:01:32
 1  0 609440 159828 215684 225440    0    0     0     0  428  730 63 37  0  0  0 2018-06-01 03:01:33
 4  0 609440 267452 215648 117840    0    0    12   120  440  875 79 21  0  0  0 2018-06-01 03:01:34
 3  0 609436 284440 215684 100576    4    0     4    40  428  934 72 28  0  0  0 2018-06-01 03:01:35
 2  0 609436 147296 347832 102200    0    0   108 103216  510  859 34 66  0  0  0 2018-06-01 03:01:36
 2  1 609436 110612 359188 125956    0    0 13128 117488  621 1155 30 69  0  1  0 2018-06-01 03:01:37
 4  0 609436  65228 359200 171184    0    0 33628     0  808 1733 74 23  0  4  0 2018-06-01 03:01:38
 3  0 611252 341532 158732 100640    0 1816  5400  1964  817 1686 63 35  0  2  0 2018-06-01 03:01:39
 2  0 611252 239108 159980 201592    0    0  1528     0  472  765 69 31  0  0  0 2018-06-01 03:01:40
 1  0 611252 351468 156744  92976    0    0   624    12  373  835 11 16 70  2  0 2018-06-01 03:01:41
