procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st                 BST
 2  1 611252 344136 160904  96184    8   38   503   707  310  747  6  5 89  0  0 2018-06-01 03:01:42
 1  0 611252 215176 163912 221760    0    0  3348     0  559 1106 60 40  0  0  0 2018-06-01 03:01:43
 3  0 611244 325892 164916 110000    4    0  1044   144  452  830 84 16  0  0  0 2018-06-01 03:01:44
 2  0 611240 251988 170156 178592    4    0  5176    12  558 1297 74 26  0  0  0 2018-06-01 03:01:45
 5  0 611240 194204 293312 110152    0    0  1696 104616  621  949 43 57  0  0  0 2018-06-01 03:01:46
 1  0 611240  73676 408660 112156    0    0  1160 123068  547  831 49 51  0  0  0 2018-06-01 03:01:47
 2  0 611236  62064 408680 123608    4    0     4     0  428  701 89 11  0  0  0 2018-06-01 03:01:48
 1  0 611236 285044 144676 171028    0    0   356    16  421  832 60 40  0  0  0 2018-06-01 03:01:49
 1  0 611236 349172 144712 106728    0    0     4   128  415  737 69 23  8  0  0 2018-06-01 03:01:50
 0  0 611236 349296 144820 106728    0    0   156     0  320  770  3  5 91  1  0 2018-06-01 03:01:51
