procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st                 BST
 6  0 609440 288100 215696  97892    8   38   500   696  309  747  6  5 89  0  0 2018-06-01 03:01:32
 1  0 609440 159828 215684 225440    0    0     4     0  442  952 50 50  0  0  0 2018-06-01 03:01:33
 2  0 609440 284440 215648 100560    0    0    12   120  421  730 84 16  0  0  0 2018-06-01 03:01:34
 3  0 609440 204832 215684 180316    0    0     0     4  444  923 73 27  0  0  0 2018-06-01 03:01:35
 1  0 609436 174204 321732 102164    4    0   112 82592  494 1006 42 58  0  0  0 2018-06-01 03:01:36
 3  0 609436  65352 405992 123228    0    0     0 133448  495  743 30 70  0  0  0 2018-06-01 03:01:37
 2  0 609436  68576 359200 167872    0    0 46700  4700  909 2032 59 36  0  5  0 2018-06-01 03:01:38
 2  0 611252  95780 270436 229204    0 1816   248  1948  447  992 79 21  0  0  0 2018-06-01 03:01:39
 2  0 611252 245432 158900 196552    0    0  5508    16  815 1417 54 44  0  2  0 2018-06-01 03:01:40
 0  0 611252 351468 156744  92976    0    0  1852    12  448  950 35 18 45  2  0 2018-06-01 03:01:41
 5  1 611252 346120 160732  94388    0    0  6316     0  594 1508  9 19 69  3  0 2018-06-01 03:01:42
 2  0 611252 215176 163912 221760    0    0  4352     0  741 1424 53 46  0  1  0 2018-06-01 03:01:43
 4  0 611248 337176 164304  99416    0    0   400    20  442  757 86 14  0  0  0 2018-06-01 03:01:44
 6  0 611240 251988 170156 178592    8    0  5820   136  571 1300 74 26  0  0  0 2018-06-01 03:01:45
 2  0 611240 203752 283988 110152    0    0  1568 101544  612 1017 44 56  0  0  0 2018-06-01 03:01:46
 2  0 611240  74420 408660 111364    0    0  1288 126140  543  832 46 54  0  0  0 2018-06-01 03:01:47
 2  0 611240  62808 408680 122888    0    0     0     0  435  652 89 11  0  0  0 2018-06-01 03:01:48
 1  0 611236 298808 144676 157276    4    0   276    16  421  879 64 36  0  0  0 2018-06-01 03:01:49
 1  0 611236 349172 144712 106728    0    0    88   128  429  744 71 27  2  0  0 2018-06-01 03:01:50
 0  0 611236 349296 144820 106728    0    0   156     0  317  766  3  5 91  1  0 2018-06-01 03:01:51
 3  1 611236 332556 152612 115600    0    0 10032     0  716 1924 14 30 54  2  0 2018-06-01 03:01:52
